== (10,2,0) e=2 X4h=1 : every candidate with its rejection witness ==
a2 a3 c1 c2 bq1 n45 n4 | test | witness
 0  0  2  0  0  13  1 | length_budget | rem=48 not in [11,33]
 0  0  2  0  0  13  2 | length_budget | rem=49 not in [11,33]
 0  0  2  0  0  13  3 | length_budget | rem=50 not in [11,33]
 0  0  2  0  0  13  4 | length_budget | rem=51 not in [11,33]
 0  0  2  0  0  13  5 | length_budget | rem=52 not in [11,33]
 0  0  2  0  0  13  6 | length_budget | rem=53 not in [11,33]
 0  0  2  0  0  13  7 | length_budget | rem=54 not in [11,33]
 0  0  2  0  0  13  8 | length_budget | rem=55 not in [11,33]
 0  0  2  0  0  13  9 | length_budget | rem=56 not in [11,33]
 0  0  2  0  0  13 10 | length_budget | rem=57 not in [11,33]
 0  0  2  0  0  13 11 | length_budget | rem=58 not in [11,33]
 0  0  2  0  0  13 12 | length_budget | rem=59 not in [11,33]
 0  0  2  0  0  13 13 | length_budget | rem=60 not in [11,33]
 0  0  2  0  0  14  0 | length_budget | rem=42 not in [10,30]
 0  0  2  0  0  14  1 | length_budget | rem=43 not in [10,30]
 0  0  2  0  0  14  2 | length_budget | rem=44 not in [10,30]
 0  0  2  0  0  14  3 | length_budget | rem=45 not in [10,30]
 0  0  2  0  0  14  4 | length_budget | rem=46 not in [10,30]
 0  0  2  0  0  14  5 | length_budget | rem=47 not in [10,30]
 0  0  2  0  0  14  6 | length_budget | rem=48 not in [10,30]
 0  0  2  0  0  14  7 | length_budget | rem=49 not in [10,30]
 0  0  2  0  0  14  8 | length_budget | rem=50 not in [10,30]
 0  0  2  0  0  14  9 | length_budget | rem=51 not in [10,30]
 0  0  2  0  0  14 10 | length_budget | rem=52 not in [10,30]
 0  0  2  0  0  14 11 | length_budget | rem=53 not in [10,30]
 0  0  2  0  0  14 12 | length_budget | rem=54 not in [10,30]
 0  0  2  0  0  14 13 | length_budget | rem=55 not in [10,30]
 0  0  2  0  0  14 14 | length_budget | rem=56 not in [10,30]
 0  0  2  0  0  15  0 | length_budget | rem=37 not in [9,27]
 0  0  2  0  0  15  1 | length_budget | rem=38 not in [9,27]
 0  0  2  0  0  15  2 | length_budget | rem=39 not in [9,27]
 0  0  2  0  0  15  3 | length_budget | rem=40 not in [9,27]
 0  0  2  0  0  15  4 | length_budget | rem=41 not in [9,27]
 0  0  2  0  0  15  5 | length_budget | rem=42 not in [9,27]
 0  0  2  0  0  15  6 | length_budget | rem=43 not in [9,27]
 0  0  2  0  0  15  7 | length_budget | rem=44 not in [9,27]
 0  0  2  0  0  15  8 | length_budget | rem=45 not in [9,27]
 0  0  2  0  0  15  9 | length_budget | rem=46 not in [9,27]
 0  0  2  0  0  15 10 | length_budget | rem=47 not in [9,27]
