==============================================================================
LEMMA 6.7 -- cycle-shape exclusion: no type-II cycle in any of the sixteen classes
==============================================================================

[A] TIER 1: the closed-form kill  (all censuses with c2 >= 1, b_q1 = 0)
    cell            a2 a3 c1 c2 | a1 lam | N_lo N_hi | verdict
    (20,0,0) e=7 X4h=0  0  2  3  0  -  |   23   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  0  2  1  1  -  |   25   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  0  3  1  0  -  |   27   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  1  1  4  0  -  |   20   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  1  1  2  1  -  |   23   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  1  1  0  2  -  |   25   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  1  2  2  0  -  |   24   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  1  2  0  1  -  |   27   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  1  3  0  0  -  |   28   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  2  1  3  0  -  |   22   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  2  1  1  1  -  |   24   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  2  2  1  0  -  |   26   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  3  1  2  0  -  |   23   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  3  1  0  1  -  |   26   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  3  2  0  0  -  |   27   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  4  1  1  0  -  |   25   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  5  1  0  0  -  |   26   17 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  1  6  0  -  |   18   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  1  4  1  -  |   21   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  1  2  2  -  |   23   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  1  0  3  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  2  4  0  -  |   22   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  2  2  1  -  |   25   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  2  0  2  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  3  2  0  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  3  0  1  -  |   29   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  0  4  0  0  -  |   30   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  1  1  5  0  -  |   20   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  1  1  3  1  -  |   22   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  1  1  1  2  -  |   25   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  1  2  3  0  -  |   24   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  1  2  1  1  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  1  3  1  0  -  |   28   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  2  1  4  0  -  |   21   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  2  1  2  1  -  |   24   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  2  1  0  2  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  2  2  2  0  -  |   25   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  2  2  0  1  -  |   28   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  2  3  0  0  -  |   29   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  3  1  3  0  -  |   23   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  3  1  1  1  -  |   25   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  3  2  1  0  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  4  1  2  0  -  |   24   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  4  1  0  1  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  4  2  0  0  -  |   28   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  5  1  1  0  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=8 X4h=0  6  1  0  0  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  1  7  0  -  |   18   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  1  5  1  -  |   20   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  1  3  2  -  |   23   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  1  1  3  -  |   25   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  2  5  0  -  |   22   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  2  3  1  -  |   24   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  2  1  2  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  3  3  0  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  3  1  1  -  |   28   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  0  4  1  0  -  |   30   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  1  6  0  -  |   19   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  1  4  1  -  |   22   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  1  2  2  -  |   24   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  1  0  3  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  2  4  0  -  |   23   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  2  2  1  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  2  0  2  -  |   28   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  3  2  0  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  3  0  1  -  |   30   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  1  4  0  0  -  |   31   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  2  1  5  0  -  |   21   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  2  1  3  1  -  |   23   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  2  1  1  2  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  2  2  3  0  -  |   25   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  2  2  1  1  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  2  3  1  0  -  |   29   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  3  1  4  0  -  |   22   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  3  1  2  1  -  |   25   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  3  1  0  2  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  3  2  2  0  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  3  2  0  1  -  |   29   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  3  3  0  0  -  |   30   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  4  1  3  0  -  |   24   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  4  1  1  1  -  |   26   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  4  2  1  0  -  |   28   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  5  1  2  0  -  |   25   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  5  1  0  1  -  |   28   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  5  2  0  0  -  |   29   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  6  1  1  0  -  |   27   16 |  (closed form)          | DEAD
    (20,0,0) e=9 X4h=0  7  1  0  0  -  |   28   16 |  (closed form)          | DEAD
    (15,1,0) e=2 X4h=1  0  1  0  0  -  |   23   21 |  (closed form)          | DEAD
    (15,1,0) e=3 X4h=1  0  1  1  0  -  |   22   20 |  (closed form)          | DEAD
    (15,1,0) e=3 X4h=1  1  1  0  0  -  |   24   20 |  (closed form)          | DEAD
    (15,1,0) e=4 X4h=1  0  1  2  0  -  |   22   20 |  (closed form)          | DEAD
    (15,1,0) e=4 X4h=1  0  1  0  1  -  |   24   20 |  (closed form)          | DEAD
    (15,1,0) e=4 X4h=1  0  2  0  0  -  |   26   20 |  (closed form)          | DEAD
    (15,1,0) e=4 X4h=1  1  1  1  0  -  |   23   20 |  (closed form)          | DEAD
    (15,1,0) e=4 X4h=1  2  1  0  0  -  |   25   20 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  0  1  5  0  -  |   20   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  0  1  3  1  -  |   23   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  0  1  1  2  -  |   25   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  0  2  3  0  -  |   24   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  0  2  1  1  -  |   27   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  0  3  1  0  -  |   28   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  1  1  4  0  -  |   22   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  1  1  2  1  -  |   24   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  1  1  0  2  -  |   27   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  1  2  2  0  -  |   26   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  1  2  0  1  -  |   28   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  1  3  0  0  -  |   30   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  2  1  3  0  -  |   23   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  2  1  1  1  -  |   26   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  2  2  1  0  -  |   27   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  3  1  2  0  -  |   25   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  3  1  0  1  -  |   27   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  3  2  0  0  -  |   29   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  4  1  1  0  -  |   26   17 |  (closed form)          | DEAD
    (15,1,0) e=7 X4h=1  5  1  0  0  -  |   28   17 |  (closed form)          | DEAD
    (10,2,0) e=2 X4h=1  0  1  0  0  -  |   24   20 |  (closed form)          | DEAD
    (10,2,0) e=2 X4h=2  0  1  0  0  -  |   24   21 |  (closed form)          | DEAD
    150 censuses with a3 >= 1;  148 killed by the closed form;  2 by the frontier;  0 alive.

[H] The 200 surviving configurations of the sixteen classes
    total configurations surviving the census with c2, a3 free: 200
    every one of them has c2 = 0 and a3 = 0  (registered count: 200)

LEMMA 6.7 VERDICT: c2 = 0 in every configuration of every one of the
sixteen classes; hence every cycle in every one of the 631 search
instances is type-I and Algorithm 6's type-I-only endgame is complete.
