==============================================================================
LEMMA 6.7 -- cycle-shape exclusion: no type-II cycle in any of the sixteen classes
==============================================================================

[A] TIER 1: the closed-form kill  (all censuses with c2 >= 1, b_q1 = 0)
    cell            a2 a3 c1 c2 | a1 lam | N_lo N_hi | verdict
    (20,0,0) e=8 X4h=0  0  1  2  2 | 19   2 |   23   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  0  1  0  3 | 19   2 |   26   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  0  2  2  1 | 18   3 |   25   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  0  2  0  2 | 18   3 |   27   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  0  3  0  1 | 17   4 |   29   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  1  0  5  1 | 19   2 |   18   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  1  0  3  2 | 19   2 |   21   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  1  0  1  3 | 19   2 |   23   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  1  1  3  1 | 18   3 |   22   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  1  1  1  2 | 18   3 |   25   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  1  2  1  1 | 17   4 |   26   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  2  0  4  1 | 18   3 |   20   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  2  0  2  2 | 18   3 |   22   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  2  0  0  3 | 18   3 |   25   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  2  1  2  1 | 17   4 |   24   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  2  1  0  2 | 17   4 |   26   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  2  2  0  1 | 16   5 |   28   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  3  0  3  1 | 17   4 |   21   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  3  0  1  2 | 17   4 |   24   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  3  1  1  1 | 16   5 |   25   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  4  0  2  1 | 16   5 |   23   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  4  0  0  2 | 16   5 |   25   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  4  1  0  1 | 15   6 |   27   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  5  0  1  1 | 15   6 |   24   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=8 X4h=0  6  0  0  1 | 14   7 |   26   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  0  0  7  1 | 19   1 |   16   16 | -> TIER 2
    (20,0,0) e=9 X4h=0  0  0  5  2 | 19   1 |   19   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  0  0  3  3 | 19   1 |   21   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  0  0  1  4 | 19   1 |   24   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  0  1  5  1 | 18   2 |   20   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  0  1  3  2 | 18   2 |   23   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  0  1  1  3 | 18   2 |   25   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  0  2  3  1 | 17   3 |   24   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  0  2  1  2 | 17   3 |   27   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  0  3  1  1 | 16   4 |   28   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  0  6  1 | 18   2 |   18   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  0  4  2 | 18   2 |   20   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  0  2  3 | 18   2 |   23   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  0  0  4 | 18   2 |   25   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  1  4  1 | 17   3 |   22   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  1  2  2 | 17   3 |   24   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  1  0  3 | 17   3 |   27   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  2  2  1 | 16   4 |   26   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  2  0  2 | 16   4 |   28   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  1  3  0  1 | 15   5 |   30   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  2  0  5  1 | 17   3 |   19   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  2  0  3  2 | 17   3 |   22   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  2  0  1  3 | 17   3 |   24   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  2  1  3  1 | 16   4 |   23   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  2  1  1  2 | 16   4 |   26   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  2  2  1  1 | 15   5 |   27   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  3  0  4  1 | 16   4 |   21   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  3  0  2  2 | 16   4 |   23   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  3  0  0  3 | 16   4 |   26   16 | DEAD  (N_lo > N_hi)
    (20,0,0) e=9 X4h=0  3  1  2  1 | 15   5 |   25   16 | DEAD  (N_lo > N_hi)
