# CENSUS TABLE for the L=871 habitat N871-B
# Regenerate:  python3 src/coverage/checks/print_census.py
# Part A: the 200 configurations of the 15 Z=0 structural classes.
# columns: a2 a3 c1 c2 bq1 | a1 n45 n4 nS | sumc1 sumc2 | LAM  (U = a2+2a3)

## CLASS (20,0,0)/e=1/X4h=0   P#=28  NCh=2  configurations=16
   a2=0 a3=0 c1=6 c2=0 bq1=0 | a1=22 n45=17 n4=4 nS= 5 | sumc1= 24 sumc2=0 | LAM=1 U=0
   a2=0 a3=0 c1=6 c2=0 bq1=0 | a1=22 n45=18 n4=0 nS= 4 | sumc1= 24 sumc2=0 | LAM=1 U=0
   a2=0 a3=0 c1=6 c2=0 bq1=0 | a1=22 n45=18 n4=1 nS= 4 | sumc1= 24 sumc2=0 | LAM=1 U=0
   a2=0 a3=0 c1=6 c2=0 bq1=0 | a1=22 n45=18 n4=2 nS= 4 | sumc1= 24 sumc2=0 | LAM=1 U=0
   a2=0 a3=0 c1=6 c2=0 bq1=0 | a1=22 n45=18 n4=3 nS= 4 | sumc1= 24 sumc2=0 | LAM=1 U=0
   a2=0 a3=0 c1=6 c2=0 bq1=0 | a1=22 n45=18 n4=4 nS= 4 | sumc1= 24 sumc2=0 | LAM=1 U=0
   a2=0 a3=0 c1=6 c2=0 bq1=0 | a1=22 n45=18 n4=5 nS= 4 | sumc1= 24 sumc2=0 | LAM=1 U=0
   a2=0 a3=0 c1=6 c2=0 bq1=0 | a1=22 n45=18 n4=6 nS= 4 | sumc1= 24 sumc2=0 | LAM=1 U=0
   a2=1 a3=0 c1=5 c2=0 bq1=0 | a1=21 n45=17 n4=0 nS= 4 | sumc1= 20 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=5 c2=0 bq1=0 | a1=21 n45=17 n4=1 nS= 4 | sumc1= 20 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=5 c2=0 bq1=0 | a1=21 n45=18 n4=0 nS= 3 | sumc1= 20 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=5 c2=0 bq1=0 | a1=21 n45=18 n4=1 nS= 3 | sumc1= 20 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=5 c2=0 bq1=0 | a1=21 n45=18 n4=2 nS= 3 | sumc1= 20 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=5 c2=0 bq1=0 | a1=21 n45=18 n4=3 nS= 3 | sumc1= 20 sumc2=0 | LAM=2 U=1
   a2=2 a3=0 c1=4 c2=0 bq1=0 | a1=20 n45=18 n4=0 nS= 2 | sumc1= 16 sumc2=0 | LAM=3 U=2

## CLASS (20,0,0)/e=7/X4h=0   P#=28  NCh=8  configurations=4
   a2=1 a3=0 c1=6 c2=0 bq1=0 | a1=20 n45=16 n4=0 nS= 4 | sumc1= 24 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=6 c2=0 bq1=0 | a1=20 n45=17 n4=0 nS= 3 | sumc1= 24 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=6 c2=0 bq1=0 | a1=20 n45=17 n4=1 nS= 3 | sumc1= 24 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=6 c2=0 bq1=0 | a1=20 n45=17 n4=2 nS= 3 | sumc1= 24 sumc2=0 | LAM=2 U=1

## CLASS (20,0,0)/e=8/X4h=0   P#=28  NCh=9  configurations=2
   a2=1 a3=0 c1=7 c2=0 bq1=0 | a1=19 n45=16 n4=0 nS= 3 | sumc1= 28 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=7 c2=0 bq1=0 | a1=19 n45=16 n4=1 nS= 3 | sumc1= 28 sumc2=0 | LAM=2 U=1

## CLASS (20,0,0)/e=9/X4h=0   P#=28  NCh=10  configurations=4
   a2=1 a3=0 c1=8 c2=0 bq1=0 | a1=18 n45=15 n4=0 nS= 3 | sumc1= 32 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=8 c2=0 bq1=0 | a1=18 n45=16 n4=0 nS= 2 | sumc1= 32 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=8 c2=0 bq1=0 | a1=18 n45=16 n4=1 nS= 2 | sumc1= 32 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=8 c2=0 bq1=0 | a1=18 n45=16 n4=2 nS= 2 | sumc1= 32 sumc2=0 | LAM=2 U=1

## CLASS (15,1,0)/e=1/X4h=1   P#=27  NCh=3  configurations=22
