20-e1#0039	1	--n5 21 --n4 0 --n3 4 --n2 0 --n1 1 --c1 0 --spans 2 --bq1 0 --x4h 0 --defect none
20-e1#0040	1	--n5 21 --n4 0 --n3 3 --n2 2 --n1 0 --c1 0 --spans 2 --bq1 0 --x4h 0 --defect none
20-e1#0041	1	--n5 21 --n4 0 --n3 3 --n2 1 --n1 1 --c1 0 --spans 3 --bq1 0 --x4h 0 --defect none
20-e1#0042	1	--n5 21 --n4 0 --n3 2 --n2 3 --n1 0 --c1 0 --spans 3 --bq1 0 --x4h 0 --defect none
20-e1#0043	1	--n5 21 --n4 0 --n3 3 --n2 0 --n1 2 --c1 0 --spans 4 --bq1 0 --x4h 0 --defect none
20-e1#0044	1	--n5 21 --n4 0 --n3 2 --n2 2 --n1 1 --c1 0 --spans 4 --bq1 0 --x4h 0 --defect none
20-e1#0045	1	--n5 21 --n4 0 --n3 1 --n2 4 --n1 0 --c1 0 --spans 4 --bq1 0 --x4h 0 --defect none
20-e1#0046	1	--n5 21 --n4 1 --n3 2 --n2 1 --n1 1 --c1 0 --spans 2 --bq1 0 --x4h 0 --defect none
20-e1#0047	1	--n5 21 --n4 1 --n3 1 --n2 3 --n1 0 --c1 0 --spans 2 --bq1 0 --x4h 0 --defect none
20-e1#0048	1	--n5 21 --n4 1 --n3 2 --n2 0 --n1 2 --c1 0 --spans 3 --bq1 0 --x4h 0 --defect none
20-e1#0049	1	--n5 21 --n4 1 --n3 1 --n2 2 --n1 1 --c1 0 --spans 3 --bq1 0 --x4h 0 --defect none
20-e1#0050	1	--n5 21 --n4 1 --n3 0 --n2 4 --n1 0 --c1 0 --spans 3 --bq1 0 --x4h 0 --defect none
20-e1#0051	1	--n5 21 --n4 1 --n3 1 --n2 1 --n1 2 --c1 0 --spans 4 --bq1 0 --x4h 0 --defect none
20-e1#0052	1	--n5 21 --n4 1 --n3 0 --n2 3 --n1 1 --c1 0 --spans 4 --bq1 0 --x4h 0 --defect none
20-e1#0053	1	--n5 22 --n4 0 --n3 2 --n2 0 --n1 2 --c1 0 --spans 2 --bq1 0 --x4h 0 --defect none
20-e1#0054	1	--n5 22 --n4 0 --n3 1 --n2 2 --n1 1 --c1 0 --spans 2 --bq1 0 --x4h 0 --defect none
20-e1#0055	1	--n5 22 --n4 0 --n3 0 --n2 4 --n1 0 --c1 0 --spans 2 --bq1 0 --x4h 0 --defect none
20-e1#0056	1	--n5 22 --n4 0 --n3 1 --n2 1 --n1 2 --c1 0 --spans 3 --bq1 0 --x4h 0 --defect none
20-e1#0057	1	--n5 22 --n4 0 --n3 0 --n2 3 --n1 1 --c1 0 --spans 3 --bq1 0 --x4h 0 --defect none
20-e1#0058	1	--n5 22 --n4 0 --n3 1 --n2 0 --n1 3 --c1 0 --spans 4 --bq1 0 --x4h 0 --defect none
20-e1#0059	1	--n5 22 --n4 0 --n3 0 --n2 2 --n1 2 --c1 0 --spans 4 --bq1 0 --x4h 0 --defect none
20-e2#0060	1	--n5 16 --n4 5 --n3 4 --n2 0 --n1 0 --c1 1 --spans 4 --bq1 0 --x4h 0 --defect none
20-e2#0061	1	--n5 17 --n4 3 --n3 5 --n2 0 --n1 0 --c1 1 --spans 4 --bq1 0 --x4h 0 --defect none
20-e2#0062	1	--n5 17 --n4 4 --n3 4 --n2 0 --n1 0 --c1 1 --spans 3 --bq1 0 --x4h 0 --defect none
20-e2#0063	1	--n5 17 --n4 4 --n3 3 --n2 1 --n1 0 --c1 1 --spans 4 --bq1 0 --x4h 0 --defect none
20-e2#0064	1	--n5 18 --n4 1 --n3 6 --n2 0 --n1 0 --c1 1 --spans 4 --bq1 0 --x4h 0 --defect none
20-e2#0065	1	--n5 18 --n4 2 --n3 5 --n2 0 --n1 0 --c1 1 --spans 3 --bq1 0 --x4h 0 --defect none
20-e2#0066	1	--n5 18 --n4 2 --n3 4 --n2 1 --n1 0 --c1 1 --spans 4 --bq1 0 --x4h 0 --defect none
20-e2#0067	1	--n5 18 --n4 3 --n3 4 --n2 0 --n1 0 --c1 1 --spans 2 --bq1 0 --x4h 0 --defect none
20-e2#0068	1	--n5 18 --n4 3 --n3 3 --n2 1 --n1 0 --c1 1 --spans 3 --bq1 0 --x4h 0 --defect none
20-e2#0069	1	--n5 18 --n4 3 --n3 3 --n2 0 --n1 1 --c1 1 --spans 4 --bq1 0 --x4h 0 --defect none
20-e2#0070	1	--n5 18 --n4 3 --n3 2 --n2 2 --n1 0 --c1 1 --spans 4 --bq1 0 --x4h 0 --defect none
20-e2#0071	1	--n5 19 --n4 0 --n3 6 --n2 0 --n1 0 --c1 1 --spans 3 --bq1 0 --x4h 0 --defect none
20-e2#0072	1	--n5 19 --n4 0 --n3 5 --n2 1 --n1 0 --c1 1 --spans 4 --bq1 0 --x4h 0 --defect none
