20-e5 1 0 4 0 0 | 22 17 0 5 | 16 0 | 2 1
20-e5 1 0 4 0 0 | 22 18 1 4 | 16 0 | 2 1
20-e5 1 0 4 0 0 | 22 19 2 3 | 16 0 | 2 1
20-e5 1 0 4 0 0 | 22 18 0 4 | 16 0 | 2 1
20-e5 1 0 4 0 0 | 22 19 1 3 | 16 0 | 2 1
20-e5 1 0 4 0 0 | 22 19 0 3 | 16 0 | 2 1
20-e5 2 0 3 0 0 | 21 19 1 2 | 12 0 | 3 2
20-e5 2 0 3 0 0 | 21 19 0 2 | 12 0 | 3 2
20-e6 0 0 6 0 0 | 22 18 6 4 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 17 4 5 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 18 5 4 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 16 2 6 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 17 3 5 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 18 4 4 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 15 0 7 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 16 1 6 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 17 2 5 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 18 3 4 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 16 0 6 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 17 1 5 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 18 2 4 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 17 0 5 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 18 1 4 | 24 0 | 1 0
20-e6 0 0 6 0 0 | 22 18 0 4 | 24 0 | 1 0
20-e6 1 0 5 0 0 | 21 18 3 3 | 20 0 | 2 1
20-e6 1 0 5 0 0 | 21 17 1 4 | 20 0 | 2 1
20-e6 1 0 5 0 0 | 21 18 2 3 | 20 0 | 2 1
20-e6 1 0 5 0 0 | 21 17 0 4 | 20 0 | 2 1
20-e6 1 0 5 0 0 | 21 18 1 3 | 20 0 | 2 1
20-e6 1 0 5 0 0 | 21 18 0 3 | 20 0 | 2 1
20-e6 2 0 4 0 0 | 20 18 0 2 | 16 0 | 3 2
20-e7 1 0 6 0 0 | 20 17 2 3 | 24 0 | 2 1
20-e7 1 0 6 0 0 | 20 16 0 4 | 24 0 | 2 1
20-e7 1 0 6 0 0 | 20 17 1 3 | 24 0 | 2 1
20-e7 1 0 6 0 0 | 20 17 0 3 | 24 0 | 2 1
20-e8 1 0 7 0 0 | 19 16 1 3 | 28 0 | 2 1
20-e8 1 0 7 0 0 | 19 16 0 3 | 28 0 | 2 1
20-e9 1 0 8 0 0 | 18 16 2 2 | 32 0 | 2 1
20-e9 1 0 8 0 0 | 18 15 0 3 | 32 0 | 2 1
20-e9 1 0 8 0 0 | 18 16 1 2 | 32 0 | 2 1
20-e9 1 0 8 0 0 | 18 16 0 2 | 32 0 | 2 1
15-e1 0 0 1 0 0 | 26 22 6 4 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 21 4 5 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 22 5 4 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 20 2 6 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 21 3 5 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 22 4 4 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 19 0 7 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 20 1 6 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 21 2 5 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 22 3 4 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 20 0 6 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 21 1 5 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 22 2 4 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 21 0 5 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 22 1 4 | 4 0 | 2 0
15-e1 0 0 1 0 0 | 26 22 0 4 | 4 0 | 2 0
15-e1 1 0 0 0 0 | 25 22 3 3 | 0 0 | 3 1
15-e1 1 0 0 0 0 | 25 21 1 4 | 0 0 | 3 1
15-e1 1 0 0 0 0 | 25 22 2 3 | 0 0 | 3 1
15-e1 1 0 0 0 0 | 25 21 0 4 | 0 0 | 3 1
15-e1 1 0 0 0 0 | 25 22 1 3 | 0 0 | 3 1
15-e1 1 0 0 0 0 | 25 22 0 3 | 0 0 | 3 1
15-e2 0 0 2 0 0 | 25 21 5 4 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 20 3 5 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 21 4 4 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 19 1 6 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 20 2 5 | 8 0 | 2 0
15-e2 0 0 2 0 0 | 25 21 3 4 | 8 0 | 2 0
